gene,GSE199460,GSE210776,GSE95401,GSE279183,pooled_mouse
ACP2,0.15161613792141748,0.41981721639503045,1.1377687725537273,0.24306785747691015,0.5541704000729952
ACP5,1.1029940972086436,2.8368521012982124,6.715412565978043,2.9191196882470485,2.7685409765530635
ACP6,0.7832999036660021,-0.20136400775719918,0.5817176864413491,0.5726200178501644,0.3144403384176932
ACRBP,-0.28695697655272695,-0.6050543333863733,-0.9608133046977864,0.9413459213134957,-0.6245437692579923
ACSF2,2.552920858028654,0.39471433213175705,-0.3970624921264347,-0.12064993697664439,0.5149905771694243
ACSF3,0.9291153122843472,0.3605705123056756,4.037891607196829,0.25488502935526647,1.3045081226326303
ACSS1,0.0638355653014574,0.4069962144030258,-0.18113937854974127,-0.6099802011484745,0.11130529489008971
ACSS2,1.2601503725455478,0.05221827924724773,1.0755509273556592,-0.340620628840871,0.664507828636812
ACSS3,0.25330493518211455,0.3230812474473521,-0.560569501138664,1.0655883772829502,0.011705508101674216
ACTR10,0.37379071537876996,0.27851019387568426,0.596337748006254,-0.8391303169059491,0.40936970475903695
ACTR2,0.05480762342871875,-0.8216462883708225,1.2497481241931292,1.3231735022902829,0.09458228623506776
ACTR5,0.7757417613341426,-0.7551717403560174,-0.11241248806887567,0.7189823492285506,-0.12511523570762048
ACTR6,-0.7124697011292719,-1.1993110795029833,0.53614582159254,0.7033713612145446,-0.4307524528155346
ACTR8,-0.04735275358597546,-0.5527756589539236,-0.5197881971639419,0.4173833408122079,-0.3992708842806732
ACVR1,-0.735328797060647,-1.8270698835779402,-0.21690849058117231,0.31361515137783547,-0.8499510443651584
ACVRL1,0.19844835125985788,-0.5337986909164589,-0.21972443917216725,0.6376124934199257,-0.22330828072407782
ACY3,2.8418056513192824,0.25213437488606133,-1.1422982532389054,0.73748078277343,0.3561330898379485
ACYP2,-0.737482793546043,-2.322594364394594,0.6644746786097978,-1.8486474149914522,-0.7089022326750165
ADA,4.399866274203137,2.9005864143306384,-0.036081255759344906,0.5600644960831404,2.0346549710640014
