celltype,module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
NK,TNF_NFkB,R_remission_vs_recovery,-0.14293622426224964,1.0,5,3,-0.06666666666666667,1.0
NK,TNF_NFkB,NR_vs_R_remission,-0.6770104475048727,0.42857142857142855,6,5,-0.3333333333333333,1.0
NK,IL1_IL6,NR_remission_vs_recovery,-0.05437353261641903,1.0,6,4,-0.041666666666666664,1.0
NK,IL1_IL6,R_remission_vs_recovery,-0.07720453646813653,0.6527828452619114,5,3,-0.26666666666666666,1.0
NK,IL1_IL6,NR_vs_R_remission,-0.17019775550229913,0.8517620620140876,6,5,-0.1,1.0
NK,TGF_remodeling,NR_remission_vs_recovery,-0.3603577044562576,0.10874205375165716,6,4,-0.6666666666666666,0.5361212977426555
NK,TGF_remodeling,R_remission_vs_recovery,-0.11893518974420667,1.0,5,3,-0.06666666666666667,1.0
NK,TGF_remodeling,NR_vs_R_remission,-0.30515883932156396,0.05468120473251771,6,5,-0.7333333333333333,0.382768433127624
NK,Myeloid_proteolytic,NR_remission_vs_recovery,-0.015344500775131567,1.0,6,4,0.0,1.0
NK,Myeloid_proteolytic,R_remission_vs_recovery,-0.432984949051447,0.5714285714285714,5,3,-0.3333333333333333,1.0
NK,Myeloid_proteolytic,NR_vs_R_remission,-0.011773079758872332,1.0,6,5,0.0,1.0
NK,Chemokine,NR_remission_vs_recovery,-0.23435397093902588,0.17142857142857143,6,4,-0.5833333333333334,0.5361212977426555
NK,Chemokine,R_remission_vs_recovery,0.06888269495355992,1.0,5,3,0.06666666666666667,1.0
NK,Chemokine,NR_vs_R_remission,-0.05971377052511884,0.6623376623376623,6,5,-0.2,1.0
NK,VEGF_angiogenic,NR_remission_vs_recovery,-0.7595922943453397,0.22976627046113807,6,4,-0.4583333333333333,0.5361212977426555
NK,VEGF_angiogenic,R_remission_vs_recovery,0.0,0.6962703401140228,5,3,-0.2,1.0
NK,VEGF_angiogenic,NR_vs_R_remission,0.0,1.0,6,5,0.0,1.0
pDC,IFN_antiviral,NR_remission_vs_recovery,0.7863960795655032,0.2,2,3,1.0,0.28
pDC,IFN_antiviral,R_remission_vs_recovery,0.16357145507226642,0.8111888111888111,10,3,0.13333333333333333,1.0
pDC,IFN_antiviral,NR_vs_R_remission,0.6485144014431118,0.06060606060606061,2,10,0.9,0.21212121212121213
pDC,TNF_NFkB,NR_remission_vs_recovery,0.5218209340563205,0.2,2,3,1.0,0.28
pDC,TNF_NFkB,R_remission_vs_recovery,0.18061742933781505,0.6923076923076923,10,3,0.2,1.0
pDC,TNF_NFkB,NR_vs_R_remission,0.4437318070617092,0.12121212121212122,2,10,0.8,0.2828282828282828
pDC,IL1_IL6,NR_remission_vs_recovery,0.8656252946150478,0.2,2,3,1.0,0.28
pDC,IL1_IL6,R_remission_vs_recovery,-0.08925473103552777,0.6923076923076923,10,3,-0.2,1.0
pDC,IL1_IL6,NR_vs_R_remission,0.3957796012704595,0.7575757575757576,2,10,0.2,0.8838383838383838
pDC,TGF_remodeling,NR_remission_vs_recovery,-0.08967260243292446,1.0,2,3,0.0,1.0
pDC,TGF_remodeling,R_remission_vs_recovery,-0.01624247669853384,1.0,10,3,0.0,1.0
pDC,TGF_remodeling,NR_vs_R_remission,-0.057278035014698865,0.7575757575757576,2,10,0.2,0.8838383838383838
pDC,Myeloid_proteolytic,NR_remission_vs_recovery,0.1815336259251087,0.2,2,3,1.0,0.28
pDC,Myeloid_proteolytic,R_remission_vs_recovery,0.27465615644848085,0.3706293706293706,10,3,0.4,1.0
pDC,Myeloid_proteolytic,NR_vs_R_remission,0.1094144661481201,0.7575757575757576,2,10,0.2,0.8838383838383838
pDC,Chemokine,NR_remission_vs_recovery,0.7957980815908561,0.2,2,3,1.0,0.28
pDC,Chemokine,R_remission_vs_recovery,-0.08014270584348426,0.9370629370629371,10,3,-0.06666666666666667,1.0
pDC,Chemokine,NR_vs_R_remission,0.8645812525743394,0.030303030303030304,2,10,1.0,0.21212121212121213
pDC,VEGF_angiogenic,NR_remission_vs_recovery,0.2547083086458994,0.746885633390364,2,3,0.3333333333333333,0.8713665722887579
pDC,VEGF_angiogenic,R_remission_vs_recovery,-0.4661898505728593,0.37401742092623147,10,3,-0.36666666666666664,1.0
pDC,VEGF_angiogenic,NR_vs_R_remission,0.06522052907653503,1.0,2,10,-0.05,1.0
B,IFN_antiviral,NR_remission_vs_recovery,0.761054713577695,0.38095238095238093,5,2,0.6,0.8571428571428571
B,IFN_antiviral,R_remission_vs_recovery,-0.1934793181616414,0.6303030303030304,8,3,-0.25,0.9050505050505052
