dataset,gene,n_case,n_control,hedges_g,var_g,ci_low,ci_high
GSE210776,2310061I04RIK,4,3,0.42419258676381444,0.6013272683998709,-1.0956951835287634,1.9440803570563925
GSE210776,2410002F23RIK,4,3,1.1144262868764332,0.7075279282214528,-0.5342214283906985,2.763074002143565
GSE210776,2410004B18RIK,4,3,-5.146483575174087,3.231962652286999,-8.670104968715926,-1.6228621816322475
GSE210776,2410004P03RIK,4,3,0.6392726668591889,0.6242002875926593,-0.909251735536834,2.187797069255212
GSE210776,2410015M20RIK,4,3,1.2321796144271802,0.7351599935543248,-0.4483532270365904,2.9127124558909507
GSE210776,2410018L13RIK,4,3,-1.0503562198573,0.693658152192625,-2.6827646116095565,0.5820521718949565
GSE210776,2410080I02RIK,4,3,-2.4087956783202293,1.1635629953227546,-4.5230197919921675,-0.29457156464829115
GSE210776,2410089E03RIK,4,3,-1.7553774373261375,0.8914683280807012,-3.60596240677629,0.0952075321240149
GSE210776,2410131K14RIK,4,3,0.8222918213001048,0.6509497172710377,-0.7590646957030719,2.4036483383032814
GSE210776,2500002B13RIK,4,3,0.8076769589185322,0.6485675403301222,-0.7707833867766638,2.386137304613728
GSE210776,2510002D24RIK,4,3,-0.5121798530531823,0.6095661535206913,-2.0424443188776644,1.0180846127712997
GSE210776,2510009E07RIK,4,3,-2.266904346330871,1.0972188648747125,-4.31996936997301,-0.21383932268873185
GSE210776,2510039O18RIK,4,3,0.8351601625461308,0.6530825830437413,-0.7487849283648002,2.4191052534570616
GSE210776,2510046G10RIK,4,3,-0.4067217492348846,0.5998755914634017,-1.924773814272775,1.1113303158030061
GSE210776,2610001J05RIK,4,3,0.16191649992440207,0.5859550286281102,-1.3384184086802562,1.6622514085290603
GSE210776,2610002M06RIK,4,3,-0.199759812402125,0.5873237315984265,-1.7018459774767238,1.302326352672474
GSE210776,2610008E11RIK,4,3,-3.0061136763732206,1.4870052768611455,-5.396193062416659,-0.6160342903297829
GSE210776,2610020C07RIK,4,3,-1.2451093297750588,0.738363057642623,-2.929299200971267,0.4390805414211494
GSE210776,2610021A01RIK,4,3,-1.688479877638086,0.868429763052206,-3.514995625651597,0.13803587037542475
GSE210776,2610035D17RIK,4,3,-0.3550153749075089,0.5959369249754053,-1.8680756152765159,1.158044865461498
GSE210776,2610037D02RIK,4,3,1.8908249266361041,0.9408552236521762,-0.01032983486602057,3.7919796881382286
GSE210776,2610206C17RIK,4,3,-1.4277208402811397,0.7871720131106417,-3.166686051424204,0.31124437086192436
